time,healthies,parazites,mean_vir,mean_trans,mean_recov
0.572318,95,10,0.1749031775242963,0.2503087339812825,0.559279764658887
1.45308,100,7,0.1440989222461933,0.21700951059130133,0.5467489867069254
2.448165,104,6,0.12340203741310209,0.18189654481431863,0.5890294944816651
3.435639,103,10,0.14093999013045175,0.19274597367272892,0.4484987271739036
4.425549,100,9,0.16717264139107554,0.23039972722642885,0.37280034958366837
5.416839,108,11,0.16921019836035534,0.23188020725151182,0.36624177421468185
6.420058,109,15,0.13971264282954046,0.18604120386229675,0.4275695964949237
7.426236,109,18,0.1552060733648721,0.21629305462687393,0.4366454492855978
8.433233,107,22,0.1825847332393871,0.2548739231889016,0.4322332981131371
9.43111,95,33,0.24262756379931602,0.34238529078941965,0.40845236669236695
10.42504,87,35,0.2658416940258919,0.3835734385604896,0.35244027065256645
11.42388,75,40,0.2761247682162493,0.3735680593741374,0.3377822617761927
12.416913,77,37,0.3024101715953541,0.40025095477089456,0.32772475903292453
13.416873,76,47,0.2808094024268664,0.36675615774669035,0.34018281919792065
14.41909,74,47,0.305137931237548,0.41578653696857515,0.3315515910145241
15.41924,78,43,0.3149924296957639,0.4280369035595563,0.32738689568312745
16.410669,70,51,0.37018737288569337,0.5027517252238233,0.31151430651078627
17.403378,60,56,0.38466166056655704,0.5305099865322778,0.30779932727270737
18.389324,56,54,0.38612680744381583,0.5475225087790307,0.3025994835234566
19.384382,56,53,0.4610008218126836,0.6493054242373869,0.28029480692043707
20.381491,52,65,0.49564076738382745,0.6765149761365918,0.2730753470816349
21.380355,44,65,0.5273075350392058,0.6974276888235159,0.26874726633513796
22.376524,43,64,0.5687197565063513,0.7257718612321049,0.2587876981302491
23.368196,31,77,0.5904114777407955,0.7473672935185245,0.25458171186720757
24.307461,26,76,0.6479574228641484,0.8071468138392097,0.2430845355276164
25.248422,25,76,0.6417139126836024,0.7937372045971988,0.24627427967822327
26.148438,23,72,0.6606857584487922,0.8129155706157515,0.2417834094663124
26.980884,18,70,0.6861805518789341,0.8358312837154755,0.2341412611626347
